Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,bootstrap_features,estimator,estimator__ccp_alpha,estimator__criterion,estimator__max_depth,estimator__max_features,estimator__max_leaf_nodes,estimator__min_impurity_decrease,estimator__min_samples_leaf,estimator__min_samples_split,estimator__min_weight_fraction_leaf,estimator__monotonic_cst,estimator__random_state,estimator__splitter,max_features,max_samples,n_estimators,n_jobs,oob_score,random_state,split,target,verbose,warm_start,R2,RMSE,training_mean_absolute_error,training_mean_squared_error,training_r2_score,training_root_mean_squared_error,training_score,estimator_name,estimator_class
2026-05-02 21:29:31,5.5min,c365dfe4d5ae45ef856ac3f3ba9e90c4,Bagging - n_estimators=50,LOCAL,Regression_Experiment_2_BaggingRegressor.py,Glib Holovin,FINISHED,True,False,"DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)",0.0,squared_error,10,None,None,0.0,50,2,0.0,None,42,best,1.0,0.8,50,4,False,42,time-based year<2021,log1p(streams),0,False,0.7959968309498648,0.6134657209200179,0.3029565919881984,0.2654358246522386,0.8607370399986758,0.5152046434692127,0.8607370399986758,BaggingRegressor,sklearn.ensemble._bagging.BaggingRegressor
2026-05-02 21:19:34,5.4min,963fba7e4fc945d987b4b1f53622c0aa,Bagging - n_estimators=50,LOCAL,c:/RE_DAL/Regression_Experiment_2_BaggingRegressor.py,Glib Holovin,FINISHED,True,False,"DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)",0.0,squared_error,10,None,None,0.0,50,2,0.0,None,42,best,1.0,0.8,50,4,False,42,time-based year<2021,log1p(streams),0,False,0.7959968309498648,0.6134657209200179,0.3029565919881984,0.2654358246522386,0.8607370399986758,0.5152046434692127,0.8607370399986758,BaggingRegressor,sklearn.ensemble._bagging.BaggingRegressor
