run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.Accuracy,metrics.Best_CV_score,metrics.best_cv_score,metrics.training_score,metrics.training_f1_score,metrics.training_precision_score,metrics.training_recall_score,metrics.training_accuracy_score,params.model_type,params.split,params.sample_frac,params.gamma,params.C,params.kernel,params.best_kernel,params.n_jobs,params.cv,params.return_train_score,params.refit,params.best_gamma,params.estimator,params.param_grid,params.pre_dispatch,params.error_score,params.scoring,params.verbose,params.best_C,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.estimator_name,tags.mlflow.autologging,tags.estimator_class
ed167600ff1d4ef2a1dce3262dcc25a2,2,FINISHED,file:///C:/University/6th Semester/LDA/Project/mlruns/2/ed167600ff1d4ef2a1dce3262dcc25a2/artifacts,2026-05-30 21:21:57.201000+00:00,2026-05-30 21:22:01.561000+00:00,0.9433797147107728,0.9725806451612904,,,,,,,SVC,time-based year<2021,0.002,scale,1.0,rbf,,,,,,,,,,,,,,Lenovo,C:\University\6th Semester\LDA\Project\Classification_Experiment_12_SVC.py,Experiment 12 - GridSearchCV SVC,LOCAL,efa343c155c16ea376b29551f14f66c5306ac0e9,,,
8111583c71f94504b2ec5ec385c51819,2,FINISHED,file:///C:/University/6th Semester/LDA/Project/mlruns/2/8111583c71f94504b2ec5ec385c51819/artifacts,2026-05-30 21:19:47.625000+00:00,2026-05-30 21:21:57.176000+00:00,,,0.9725806451612904,0.9771260997067449,0.9763475054885518,0.9762598905180119,0.9771260997067449,0.9771260997067449,,,,,,,rbf,-1,3,False,True,scale,SVC(random_state=42),"[{'C': [0.1, 1.0], 'kernel': ['rbf'], 'gamma': ['scale']}]",2*n_jobs,nan,accuracy,1,1.0,Lenovo,C:\University\6th Semester\LDA\Project\Classification_Experiment_12_SVC.py,efficient-koi-904,LOCAL,efa343c155c16ea376b29551f14f66c5306ac0e9,GridSearchCV,sklearn,sklearn.model_selection._search.GridSearchCV
dab0262f90a1400789778019b1baedee,2,FINISHED,file:///C:/University/6th Semester/LDA/Project/mlruns/2/dab0262f90a1400789778019b1baedee/artifacts,2026-05-30 12:21:48.494000+00:00,2026-05-30 12:21:52.630000+00:00,0.9433797147107728,0.9725806451612904,,,,,,,SVC,time-based year<2021,0.002,scale,1.0,rbf,,,,,,,,,,,,,,Lenovo,C:\University\6th Semester\LDA\Project\Classification_Experiment_11_SVC.py,Experiment 1 - GridSearchCV SVC,LOCAL,fd684625b136c0222ccef77c473c6f7627be82a1,,,
418bd366b25842cdbac5ecfab6b87203,2,FINISHED,file:///C:/University/6th Semester/LDA/Project/mlruns/2/418bd366b25842cdbac5ecfab6b87203/artifacts,2026-05-30 12:19:33.854000+00:00,2026-05-30 12:21:48.467000+00:00,,,0.9725806451612904,0.9771260997067449,0.9763475054885518,0.9762598905180119,0.9771260997067449,0.9771260997067449,,,,,,,rbf,-1,3,False,True,scale,SVC(random_state=42),"[{'C': [0.1, 1.0], 'kernel': ['rbf'], 'gamma': ['scale']}]",2*n_jobs,nan,accuracy,1,1.0,Lenovo,C:\University\6th Semester\LDA\Project\Classification_Experiment_11_SVC.py,calm-midge-341,LOCAL,fd684625b136c0222ccef77c473c6f7627be82a1,GridSearchCV,sklearn,sklearn.model_selection._search.GridSearchCV
