"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","base_max_depth","base_min_leaf","bootstrap","bootstrap_features","estimator","estimator__ccp_alpha","estimator__class_weight","estimator__criterion","estimator__max_depth","estimator__max_features","estimator__max_leaf_nodes","estimator__min_impurity_decrease","estimator__min_samples_leaf","estimator__min_samples_split","estimator__min_weight_fraction_leaf","estimator__monotonic_cst","estimator__random_state","estimator__splitter","max_features","max_samples","n_estimators","n_jobs","oob_score","random_state","sample_frac","split","target","verbose","warm_start","Accuracy","F1","Precision","ROC_AUC","Recall","training_accuracy_score","training_f1_score","training_log_loss","training_precision_score","training_recall_score","training_roc_auc","training_score","estimator_name","estimator_class"
"2026-05-25 12:28:14","26.2min","75dcc7db5cb64e51960fa8768ffa1f0e","BaggingClassifier - n_estimators=100","LOCAL","Classification_Experiment_7_BaggingClassifier.py","acaro","FINISHED","10","50","True","False","DecisionTreeClassifier(max_depth=10, min_samples_leaf=50, random_state=42)","0.0","None","gini","10","None","None","0.0","50","2","0.0","None","42","best","1.0","0.6","100","4","False","42","0.2","time-based year<2021","is_hit","0","False","0.9605536089698669","0.742140885717885","0.7859481880366759","0.9521400970798768","0.7029592345909357","0.9772719776736295","0.9778461843940228","0.04801285890602485","0.9788197177190825","0.9772719776736295","0.9942835441879488","0.9772719776736295","BaggingClassifier","sklearn.ensemble._bagging.BaggingClassifier"
"2026-05-25 12:10:51","17.4min","630439f62ed04b9182aca8671bcecb95","BaggingClassifier - n_estimators=50","LOCAL","Classification_Experiment_7_BaggingClassifier.py","acaro","FINISHED","10","50","True","False","DecisionTreeClassifier(max_depth=10, min_samples_leaf=50, random_state=42)","0.0","None","gini","10","None","None","0.0","50","2","0.0","None","42","best","1.0","0.8","50","4","False","42","0.2","time-based year<2021","is_hit","0","False","0.961313069376314","0.7450160790268292","0.7963490946791573","0.9504436033474215","0.6999002017659949","0.9771744964754072","0.9777605813038971","0.04794515491728814","0.9787591027969635","0.9771744964754072","0.9942712557917787","0.9771744964754072","BaggingClassifier","sklearn.ensemble._bagging.BaggingClassifier"
"2026-05-25 12:02:01","8.8min","1290e81b321f423c8890e9f3bedc911a","BaggingClassifier - n_estimators=10","LOCAL","Classification_Experiment_7_BaggingClassifier.py","acaro","FINISHED","10","50","True","False","DecisionTreeClassifier(max_depth=10, min_samples_leaf=50, random_state=42)","0.0","None","gini","10","None","None","0.0","50","2","0.0","None","42","best","1.0","0.8","10","4","False","42","0.2","time-based year<2021","is_hit","0","False","0.9598239313244569","0.7415080621981255","0.771686980186986","0.9511744064722911","0.7136007636734428","0.9768737462122202","0.9774999992669609","0.04815643868559281","0.9785849701504624","0.9768737462122202","0.994182344554374","0.9768737462122202","BaggingClassifier","sklearn.ensemble._bagging.BaggingClassifier"
