"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","activation","actual_iterations","alpha","batch_size","beta_1","beta_2","copy_X","early_stopping","epsilon","fit_intercept","hidden_layer_sizes","learning_rate","learning_rate_init","loss","max_fun","max_iter","momentum","n_iter_no_change","n_layers","n_outputs","nesterovs_momentum","positive","power_t","precompute","random_state","region_encoding","sample_frac","scaler","selection","shuffle","solver","split","target","test_size","tol","validation_fraction","verbose","warm_start","R2","R2_train","RMSE","RMSE_train","nonzero_coefs","training_mean_absolute_error","training_mean_squared_error","training_r2_score","training_root_mean_squared_error","training_score","zero_coefs","estimator_name","estimator_class"
"2026-05-24 22:39:48","11.2h","0bc9b8ced3144d6cab871d538afe7d07","MLP - Multi Layer (256, 128, 64)","LOCAL","Regression_Experiment_10_MLPRegressor.py","acaro","FINISHED","relu","110","0.0001","auto","0.9","0.999","","True","1e-08","","(256, 128, 64)","constant","0.001","squared_error","15000","300","0.9","15","5","1","True","","0.5","","42","","0.1","","","True","adam","time-based year<2021","log1p(streams)","","0.0001","0.1","False","False","0.5110353231430054","0.8845549821853638","0.9500973563753028","0.4693066153254527","","0.2640697658061981","0.22024869918823242","0.8845549821853638","0.4693066153254527","0.8845549821853638","","MLPRegressor","sklearn.neural_network._multilayer_perceptron.MLPRegressor"
"2026-05-24 20:51:13","1.8h","e3e2213e94074b25807981d3a6395f67","MLP - Multi Layer (128, 64)","LOCAL","Regression_Experiment_10_MLPRegressor.py","acaro","FINISHED","relu","96","0.0001","auto","0.9","0.999","","True","1e-08","","(128, 64)","constant","0.001","squared_error","15000","200","0.9","15","4","1","True","","0.5","","42","","0.1","","","True","adam","time-based year<2021","log1p(streams)","","0.0001","0.1","False","False","0.7561899423599243","0.8687761425971985","0.6708959276799283","0.5003518118534961","","0.30302515625953674","0.2503519356250763","0.8687761425971985","0.5003518118534961","0.8687761425971985","","MLPRegressor","sklearn.neural_network._multilayer_perceptron.MLPRegressor"
"2026-05-24 20:39:50","11.4min","697126da47dd4a6faa14d768c18f3c50","MLP - Single Layer (128)","LOCAL","Regression_Experiment_10_MLPRegressor.py","acaro","FINISHED","relu","73","0.0001","auto","0.9","0.999","","True","1e-08","","(128,)","constant","0.001","squared_error","15000","200","0.9","15","3","1","True","","0.5","","42","","0.1","","","True","adam","time-based year<2021","log1p(streams)","","0.0001","0.1","False","False","0.7632700204849243","0.8545941710472107","0.661082932183789","0.5266959556099117","","0.3281758427619934","0.277408629655838","0.8545941710472107","0.5266959556099117","0.8545941710472107","","MLPRegressor","sklearn.neural_network._multilayer_perceptron.MLPRegressor"
"2026-05-24 20:32:25","7.4min","83df044486f4447ab96b6f9fac888d74","MLP - Single Layer (64)","LOCAL","Regression_Experiment_10_MLPRegressor.py","acaro","FINISHED","relu","49","0.0001","auto","0.9","0.999","","True","1e-08","","(64,)","constant","0.001","squared_error","15000","200","0.9","15","3","1","True","","0.5","","42","","0.1","","","True","adam","time-based year<2021","log1p(streams)","","0.0001","0.1","False","False","0.7589708566665649","0.8501707911491394","0.6670587821991949","0.5346472609877627","","0.3388846814632416","0.2858476936817169","0.8501707911491394","0.5346472609877627","0.8501707911491394","","MLPRegressor","sklearn.neural_network._multilayer_perceptron.MLPRegressor"
