"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","algorithm","leaf_size","metric","metric_params","n_jobs","n_neighbors","p","sample_frac","split","target","weights","R2","RMSE","training_mean_absolute_error","training_mean_squared_error","training_r2_score","training_root_mean_squared_error","training_score","estimator_name","estimator_class"
"2026-05-31 01:33:35","9ms","9ecc91459b8f4bee89c5104f7eea4abd","KNN - elbow curve","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","","","","","","","","","","","","","","","","","","","",""
"2026-05-31 01:16:05","17.5min","0fa6491d724d4fcb974f1c9f66a84350","KNN - k=20","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","20","2","0.05","time-based year<2021","log1p(streams)","uniform","0.7180039882659912","0.7220623153148736","0.3880346715450287","0.33126524090766907","0.8262730240821838","0.575556461963263","0.8262730240821838","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
"2026-05-31 00:59:49","16.3min","fc5c2eea6559488d8fad2797ccca6d02","KNN - k=15","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","15","2","0.05","time-based year<2021","log1p(streams)","uniform","0.7170237302780151","0.7233162005837533","0.37737634778022766","0.31924399733543396","0.8325774073600769","0.5650168115511555","0.8325774073600769","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
"2026-05-31 00:43:49","16.0min","9849763af2e94f269c3a70be74dd4eaa","KNN - k=10","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","10","2","0.05","time-based year<2021","log1p(streams)","uniform","0.713851273059845","0.7273594576965942","0.36103707551956177","0.3003024458885193","0.842510998249054","0.5479985820132378","0.842510998249054","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
"2026-05-31 00:27:45","16.1min","e09f366fad054e84bbb361aca09dc8ee","KNN - k=5","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","5","2","0.05","time-based year<2021","log1p(streams)","uniform","0.6976127028465271","0.7477130194689252","0.32450103759765625","0.2583121061325073","0.8645321726799011","0.5082441402834934","0.8645321726799011","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
"2026-05-31 00:11:58","15.8min","49a3c89e77014eec9882f68b30599da2","KNN - k=3","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","3","2","0.05","time-based year<2021","log1p(streams)","uniform","0.6746710538864136","0.7755583766631209","0.28222882747650146","0.21208235621452332","0.8887766599655151","0.4605240017789771","0.8887766599655151","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
"2026-05-30 23:56:59","15.0min","f0d5df3a7e634fd3b8aee0b5ad4eabab","KNN - k=1","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_4_KNeighborsRegressor.py","lylynguyen","FINISHED","auto","30","minkowski","None","'-1","1","2","0.05","time-based year<2021","log1p(streams)","uniform","0.5588976144790649","0.9030730367844845","0.00011899969831574708","0.00032697306596674025","0.9998285174369812","0.018082396576967894","0.9998285174369812","KNeighborsRegressor","sklearn.neighbors._regression.KNeighborsRegressor"
