run_name,alpha,class_weight,early_stopping,eta0,fit_intercept,l1_ratio,max_iter,n_iter_no_change,n_jobs,penalty,random_state,shuffle,tol,validation_fraction,verbose,warm_start,model,split,sample_frac,training_precision_score,training_recall_score,training_f1_score,training_accuracy_score,training_score,train_accuracy,test_accuracy
Perceptron - lower lr,0.0001,None,False,0.1,True,0.15,100,5,-1,None,42,True,0.001,0.1,0,False,Perceptron,time-based year<2021,0.2,0.9532301973445938,0.9302862724472162,0.9374851832405163,0.9302862724472162,0.9302862724472162,0.9302862724472162,0.8695652173913043
Perceptron - more iterations,0.0001,None,False,1.0,True,0.15,200,5,-1,None,42,True,0.001,0.1,0,False,Perceptron,time-based year<2021,0.2,0.96904686651235,0.9698993162521602,0.969347908209942,0.9698993162521602,0.9698993162521602,0.9698993162521602,1.0
Perceptron - baseline,0.0001,None,False,1.0,True,0.15,100,5,-1,None,42,True,0.001,0.1,0,False,Perceptron,time-based year<2021,0.2,0.96904686651235,0.9698993162521602,0.969347908209942,0.9698993162521602,0.9698993162521602,0.9698993162521602,1.0
