"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","priors","var_smoothing","best_cv_score","training_accuracy_score","training_f1_score","training_log_loss","training_precision_score","training_recall_score","training_roc_auc","training_score","estimator_name","estimator_class"
"2026-05-26 14:40:00","484ms","b7a523ae39af4576b0b58821390da033","GaussianNB - GridSearchCV","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_4_GaussianNB.py","lylynguyen","FINISHED","","","0.9496513571564439","","","","","","","","",""
"2026-05-26 14:39:03","9.8s","ecf11a6875f545b488dc8cf370d73b8b","GaussianNB - smoothing=1e-3","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_4_GaussianNB.py","lylynguyen","FINISHED","None","0.001","","0.9471789020363456","0.9476153500632364","0.26315523337306007","0.948097022076659","0.9471789020363456","0.9543557783323826","0.9471789020363456","GaussianNB","sklearn.naive_bayes.GaussianNB"
"2026-05-26 14:38:53","9.9s","150386fcb8ca4993a35b56496613167b","GaussianNB - smoothing=1e-6","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_4_GaussianNB.py","lylynguyen","FINISHED","None","1e-06","","0.9472088065268128","0.9476796132211033","0.26368812521706986","0.9482031866220786","0.9472088065268128","0.9543476086354057","0.9472088065268128","GaussianNB","sklearn.naive_bayes.GaussianNB"
"2026-05-26 14:38:41","12.1s","21adf19d21aa4c929f9f52b962733ee0","GaussianNB - baseline","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_4_GaussianNB.py","lylynguyen","FINISHED","None","1e-09","","0.9472091070744557","0.9476799512840964","0.26368866129785534","0.9482035714092792","0.9472091070744557","0.9543476000474063","0.9472091070744557","GaussianNB","sklearn.naive_bayes.GaussianNB"
