"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","estimator","estimator__ccp_alpha","estimator__class_weight","estimator__criterion","estimator__max_depth","estimator__max_features","estimator__max_leaf_nodes","estimator__min_impurity_decrease","estimator__min_samples_leaf","estimator__min_samples_split","estimator__min_weight_fraction_leaf","estimator__monotonic_cst","estimator__random_state","estimator__splitter","learning_rate","n_estimators","random_state","Accuracy","F1","Precision","Recall","train_acc","training_accuracy_score","training_f1_score","training_log_loss","training_precision_score","training_recall_score","training_roc_auc","training_score","estimator_name","estimator_class"
"2026-05-30 20:54:28","4.8min","2cf302a6241d4d17a89d24429284c528","AdaBoost - lr=1.0","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_8_AdaBoostClassifier.py","lylynguyen","FINISHED","DecisionTreeClassifier(max_depth=3, random_state=42)","0.0","None","gini","3","None","None","0.0","1","2","0.0","None","42","best","1.0","50","42","0.947999299229152","0.6819365416144276","0.6737422715338358","0.6903325884624564","0.9705899957904736","0.9705899957904736","0.9706815605540503","0.26585694527315534","0.9707787091528453","0.9705899957904736","0.9904404287109229","0.9705899957904736","AdaBoostClassifier","sklearn.ensemble._weight_boosting.AdaBoostClassifier"
"2026-05-30 20:44:47","9.7min","24d9ed7c6d29417ebab704c3f607a614","AdaBoost - n=100","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_8_AdaBoostClassifier.py","lylynguyen","FINISHED","DecisionTreeClassifier(max_depth=3, random_state=42)","0.0","None","gini","3","None","None","0.0","1","2","0.0","None","42","best","0.1","100","42","0.9456920112123336","0.6311092070972119","0.6989193463363205","0.5752934285032435","0.9623268151231207","0.9623268151231207","0.9601779593760484","0.21878005362765476","0.9596552209973054","0.9623268151231207","0.9862429782649403","0.9623268151231207","AdaBoostClassifier","sklearn.ensemble._weight_boosting.AdaBoostClassifier"
"2026-05-30 20:39:30","5.3min","4473bc4edd474d3cbb9fb4fa4d351b66","AdaBoost - n=50","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Classification_Experiment_8_AdaBoostClassifier.py","lylynguyen","FINISHED","DecisionTreeClassifier(max_depth=3, random_state=42)","0.0","None","gini","3","None","None","0.0","1","2","0.0","None","42","best","0.1","50","42","0.9443255080588647","0.6005304639674179","0.7138971906754333","0.5182348729742043","0.9615015231742614","0.9615015231742614","0.9590995023190052","0.20765849576428924","0.9586174738839884","0.9615015231742614","0.9858308429088596","0.9615015231742614","AdaBoostClassifier","sklearn.ensemble._weight_boosting.AdaBoostClassifier"
