Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,base_estimators,cv,dt,dt__ccp_alpha,dt__criterion,dt__max_depth,dt__max_features,dt__max_leaf_nodes,dt__min_impurity_decrease,dt__min_samples_leaf,dt__min_samples_split,dt__min_weight_fraction_leaf,dt__monotonic_cst,dt__random_state,dt__splitter,estimators,final_estimator,final_estimator__copy_X,final_estimator__fit_intercept,final_estimator__n_jobs,final_estimator__positive,final_estimator__tol,final_estimator_name,lr,lr__copy_X,lr__fit_intercept,lr__n_jobs,lr__positive,lr__tol,n_jobs,passthrough,rf,rf__bootstrap,rf__ccp_alpha,rf__criterion,rf__max_depth,rf__max_features,rf__max_leaf_nodes,rf__max_samples,rf__min_impurity_decrease,rf__min_samples_leaf,rf__min_samples_split,rf__min_weight_fraction_leaf,rf__monotonic_cst,rf__n_estimators,rf__n_jobs,rf__oob_score,rf__random_state,rf__verbose,rf__warm_start,sample_frac,split,target,verbose,R2,RMSE,training_mean_absolute_error,training_mean_squared_error,training_r2_score,training_root_mean_squared_error,training_score,estimator_name,estimator_class
2026-05-02 22:37:32,36.3min,804d3558ed454aa8bbbc693bb526a68f,Stacking - LR + KNN + RF -> LR,LOCAL,Regression_Experiment_3_StackingRegressor.py,Glib Holovin,FINISHED,"['lr', 'dt', 'rf']",None,"DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)",0.0,squared_error,10,None,None,0.0,50,2,0.0,None,42,best,"[('lr', LinearRegression()), ('dt', DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)), ('rf', RandomForestRegressor(max_depth=10, min_samples_leaf=50, n_estimators=50,
                      n_jobs=4, random_state=42))]",LinearRegression(),True,True,None,False,1e-06,LinearRegression,LinearRegression(),True,True,None,False,1e-06,4,False,"RandomForestRegressor(max_depth=10, min_samples_leaf=50, n_estimators=50,
                      n_jobs=4, random_state=42)",True,0.0,squared_error,10,1.0,None,None,0.0,50,2,0.0,None,50,4,False,42,0,False,0.2,time-based year<2021,log1p(streams),0,0.795751206512486,0.6138349231347447,0.30348059095225793,0.26502717750042665,0.8609514398899941,0.5148079034945235,0.8609514398899941,StackingRegressor,sklearn.ensemble._stacking.StackingRegressor
2026-05-02 21:52:29,35.7min,6571f46d16c64e378f5614e35d560919,Stacking - LR + KNN + RF -> LR,LOCAL,Regression_Experiment_3_StackingRegressor.py,Glib Holovin,FAILED,,None,"DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)",0.0,squared_error,10,None,None,0.0,50,2,0.0,None,42,best,"[('lr', LinearRegression()), ('dt', DecisionTreeRegressor(max_depth=10, min_samples_leaf=50, random_state=42)), ('rf', RandomForestRegressor(max_depth=10, min_samples_leaf=50, n_estimators=50,
                      n_jobs=4, random_state=42))]",LinearRegression(),True,True,None,False,1e-06,,LinearRegression(),True,True,None,False,1e-06,4,False,"RandomForestRegressor(max_depth=10, min_samples_leaf=50, n_estimators=50,
                      n_jobs=4, random_state=42)",True,0.0,squared_error,10,1.0,None,None,0.0,50,2,0.0,None,50,4,False,42,0,False,,,,0,,,0.30348059095225793,0.26502717750042665,0.8609514398899941,0.5148079034945235,0.8609514398899941,StackingRegressor,sklearn.ensemble._stacking.StackingRegressor
