"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","bootstrap","ccp_alpha","criterion","max_depth","max_features","max_leaf_nodes","max_samples","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","monotonic_cst","n_estimators","n_jobs","oob_score","random_state","sample_frac","split","target","verbose","warm_start","R2","RMSE","training_mean_absolute_error","training_mean_squared_error","training_r2_score","training_root_mean_squared_error","training_score","estimator_name","estimator_class"
"2026-05-30 22:17:12","11ms","c9a52f9c61b4430ab9e84929509a368b","RandomForest - tree visualization","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_6_⁠RandomForestRegressor.py","lylynguyen","FINISHED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-05-30 22:11:50","5.3min","6979b3d541df4bef9186d38ad1d8ddff","RandomForest - n=100","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_6_⁠RandomForestRegressor.py","lylynguyen","FINISHED","True","0.0","squared_error","10","1.0","None","None","0.0","50","2","0.0","None","100","'-1","False","42","0.2","time-based year<2021","log1p(streams)","0","False","0.795605548113288","0.6140537598502508","0.3029745864287423","0.2653682482492106","0.8607724944707661","0.5151390571964143","0.8607724944707661","RandomForestRegressor","sklearn.ensemble._forest.RandomForestRegressor"
"2026-05-30 22:09:16","2.6min","addf2920220340af9e1f8ea8dc6550cb","RandomForest - n=50","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_6_⁠RandomForestRegressor.py","lylynguyen","FINISHED","True","0.0","squared_error","10","1.0","None","None","0.0","50","2","0.0","None","50","'-1","False","42","0.2","time-based year<2021","log1p(streams)","0","False","0.7955520274163731","0.6141341495911424","0.3030793349442442","0.26545841444768103","0.8607251880768063","0.5152265661315234","0.8607251880768063","RandomForestRegressor","sklearn.ensemble._forest.RandomForestRegressor"
