"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","base_estimator","estimator","estimator__ccp_alpha","estimator__criterion","estimator__max_depth","estimator__max_features","estimator__max_leaf_nodes","estimator__min_impurity_decrease","estimator__min_samples_leaf","estimator__min_samples_split","estimator__min_weight_fraction_leaf","estimator__monotonic_cst","estimator__random_state","estimator__splitter","learning_rate","loss","n_estimators","random_state","sample_frac","split","target","R2","RMSE","training_mean_absolute_error","training_mean_squared_error","training_r2_score","training_root_mean_squared_error","training_score","estimator_name","estimator_class"
"2026-05-30 22:28:54","23.7min","aa368e51ee7a49e8a50cba524fd792db","AdaBoost - n=100","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_7_⁠AdaBoostRegressor.py","lylynguyen","FINISHED","DecisionTree max_depth=5","DecisionTreeRegressor(max_depth=5, random_state=42)","0.0","squared_error","5","None","None","0.0","1","2","0.0","None","42","best","0.1","linear","100","42","0.2","time-based year<2021","log1p(streams)","0.7065537780987535","0.7357598832233517","0.4586339744407245","0.39901740798444074","0.7906524283031681","0.6316782471990315","0.7906524283031681","AdaBoostRegressor","sklearn.ensemble._weight_boosting.AdaBoostRegressor"
"2026-05-30 22:19:11","9.7min","8365744284cc41539fa84d097d7f202e","AdaBoost - n=50","LOCAL","/Volumes/Extreme SSD/Music_Recommendations_Dashboard/Regression_Experiment_7_⁠AdaBoostRegressor.py","lylynguyen","FINISHED","DecisionTree max_depth=5","DecisionTreeRegressor(max_depth=5, random_state=42)","0.0","squared_error","5","None","None","0.0","1","2","0.0","None","42","best","0.1","linear","50","42","0.2","time-based year<2021","log1p(streams)","0.7134765382708605","0.7270293409251465","0.4535995077532183","0.39045643626721444","0.7951440083808885","0.624865134462801","0.7951440083808885","AdaBoostRegressor","sklearn.ensemble._weight_boosting.AdaBoostRegressor"
