"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","alpha","ccp_alpha","criterion","init","learning_rate","loss","max_depth","max_features","max_leaf_nodes","min_impurity_decrease","min_samples_leaf","min_samples_split","min_weight_fraction_leaf","n_estimators","n_iter_no_change","random_state","sample_frac","split","subsample","target","tol","validation_fraction","verbose","warm_start","R2","RMSE","training_mean_absolute_error","training_mean_squared_error","training_r2_score","training_root_mean_squared_error","training_score","estimator_name","estimator_class"
"2026-05-22 12:51:01","56.8min","0ae98e8d542d4d6f85fd16263ad2c9bb","GB - deep  (n=200, depth=5, lr=0.05)","LOCAL","E:\GAG\DAL\Project\Music_Recommendations\Regression_Experiment_8_GradientBoostingRegressor.py","ggv","FINISHED","0.9","0.0","friedman_mse","None","0.05","squared_error","5","None","None","0.0","50","2","0.0","200","None","42","0.2","time-based year<2021","0.8","log1p(streams)","0.0001","0.1","0","False","0.7997951600312515","0.6077278368310578","0.3120161231949246","0.2618674398941887","0.862609220682955","0.5117298505014034","0.862609220682955","GradientBoostingRegressor","sklearn.ensemble._gb.GradientBoostingRegressor"
"2026-05-22 12:29:34","21.4min","b5ca193cfeea4cc5a698aee0be3164dd","GB - medium (n=100, depth=4, lr=0.1)","LOCAL","E:\GAG\DAL\Project\Music_Recommendations\Regression_Experiment_8_GradientBoostingRegressor.py","ggv","FINISHED","0.9","0.0","friedman_mse","None","0.1","squared_error","4","None","None","0.0","50","2","0.0","100","None","42","0.2","time-based year<2021","0.8","log1p(streams)","0.0001","0.1","0","False","0.7837940838446481","0.6315469326690011","0.3416151648285151","0.28601578975968645","0.8499396020064902","0.5348044406693782","0.8499396020064902","GradientBoostingRegressor","sklearn.ensemble._gb.GradientBoostingRegressor"
"2026-05-22 12:20:58","8.6min","3a359a4dc2994b838b94d247db231f24","GB - fast  (n=50,  depth=3, lr=0.1)","LOCAL","E:\GAG\DAL\Project\Music_Recommendations\Regression_Experiment_8_GradientBoostingRegressor.py","ggv","FINISHED","0.9","0.0","friedman_mse","None","0.1","squared_error","3","None","None","0.0","50","2","0.0","50","None","42","0.2","time-based year<2021","0.8","log1p(streams)","0.0001","0.1","0","False","0.7394464198382475","0.6932986681042378","0.40039834079685244","0.3452181557761007","0.8188786224219542","0.5875526834047315","0.8188786224219542","GradientBoostingRegressor","sklearn.ensemble._gb.GradientBoostingRegressor"
